date,category,description,amount
2024-09-01,Bills,Room rent,8000
2024-09-02,Food,Monthly grocery - BigBasket,3200
2024-09-03,Transport,Metro card monthly pass,800
2024-09-04,Food,Breakfast - local cafe,120
2024-09-05,Food,Lunch - office canteen,180
2024-09-06,Entertainment,Netflix subscription,199
2024-09-07,Food,Dinner with friends,850
2024-09-08,Shopping,Casual shirt,1200
2024-09-09,Food,Zomato order - dinner,380
2024-09-10,Bills,Mobile recharge,399
2024-09-11,Transport,Uber to office,145
2024-09-12,Food,Grocery - vegetables,450
2024-09-13,Healthcare,Pharmacy - medicines,320
2024-09-14,Food,Swiggy breakfast,180
2024-09-15,Entertainment,Movie tickets PVR,600
2024-09-16,Food,Restaurant - weekend,950
2024-09-17,Bills,Electricity bill,1100
2024-09-18,Food,Snacks and beverages,280
2024-09-19,Transport,Auto rickshaw,80
2024-09-20,Education,Online course Udemy,1299
2024-09-21,Food,Lunch - restaurant,420
2024-09-22,Shopping,Shoes,2400
2024-09-23,Food,Grocery shopping,1800
2024-09-24,Entertainment,Gaming subscription,499
2024-09-25,Food,Cafe - coffee and snacks,340
2024-09-26,Transport,Ola cab,165
2024-09-27,Food,Dinner - Zomato,520
2024-09-28,Bills,Internet broadband,699
2024-09-29,Food,Weekend brunch,780
2024-09-30,Other,Haircut and grooming,350
2024-10-01,Bills,Room rent,8000
2024-10-02,Food,Monthly grocery,3500
2024-10-03,Transport,Metro card recharge,800
2024-10-04,Food,Breakfast - cafe,130
2024-10-05,Shopping,Electronics - earphones,1899
2024-10-06,Food,Lunch - food court,250
2024-10-07,Entertainment,Concert tickets,1800
2024-10-08,Food,Dinner - restaurant,920
2024-10-09,Healthcare,Doctor consultation,500
2024-10-10,Bills,Mobile recharge,399
2024-10-11,Food,Swiggy order,420
2024-10-12,Transport,Uber ride,180
2024-10-13,Food,Grocery - weekly,680
2024-10-14,Shopping,Clothing - jeans,1650
2024-10-15,Food,Cafe - evening snacks,290
2024-10-16,Entertainment,Amazon Prime,299
2024-10-17,Food,Restaurant dinner,1100
2024-10-18,Bills,Electricity bill,1250
2024-10-19,Transport,Auto fare,95
2024-10-20,Food,Breakfast - Swiggy,160
2024-10-21,Education,Books - Amazon,890
2024-10-22,Food,Lunch with colleagues,550
2024-10-23,Shopping,Personal care items,780
2024-10-24,Food,Grocery shopping,1950
2024-10-25,Entertainment,Movie and popcorn,720
2024-10-26,Food,Dinner - Zomato,480
2024-10-27,Transport,Ola to mall,140
2024-10-28,Shopping,Accessories,1200
2024-10-29,Food,Weekend dining,1350
2024-10-30,Bills,DTH recharge,350
2024-10-31,Other,Gym membership,1500
2024-11-01,Bills,Room rent,8000
2024-11-02,Food,Monthly grocery,3800
2024-11-03,Transport,Metro pass,800
2024-11-04,Food,Breakfast,140
